yr,height,weight,bmi,gender
2,92.66,13.82,16.09,1
2,91.08,13.5,16.27,1
2,89.93,13.23,16.36,1
2,91.79,13.46,15.97,1
2,92.16,13.71,16.14,1
3,100.86,16.24,15.97,1
3,98.1,15.33,15.92,1
3,98.09,15.15,15.75,1
3,99.48,15.24,15.4,1
3,100.25,16.07,15.99,1
3,98.74,15.6,16.01,1
3,100.69,15.79,15.58,1
3,99.77,15.56,15.63,1
3,98.98,14.42,14.72,1
3,97.08,15.18,16.11,1
3,100.56,16.05,15.87,1
3,98.39,15.17,15.67,1
3,99.48,16.13,16.3,1
3,98.25,15.62,16.19,1
3,99.66,15.74,15.84,1
3,99.24,16.0,16.24,1
3,98.85,15.31,15.67,1
3,97.53,15.73,16.53,1
3,99.26,15.0,15.22,1
3,99.31,15.97,16.2,1
3,100.8,15.5,15.26,1
3,99.01,15.57,15.88,1
3,99.54,16.08,16.23,1
3,99.68,16.16,16.26,1
3,98.38,15.63,16.15,1
3,99.4,15.77,15.96,1
3,101.27,16.11,15.7,1
3,99.21,15.75,16.0,1
3,98.93,15.73,16.08,1
3,99.41,15.94,16.13,1
3,99.25,15.08,15.31,1
3,99.2,15.73,15.98,1
3,98.34,15.15,15.66,1
3,98.99,15.75,16.08,1
3,99.0,15.82,16.14,1
3,98.18,15.36,15.93,1
3,98.36,15.61,16.13,1
3,99.07,15.63,15.92,1
3,100.92,16.08,15.79,1
3,99.82,16.16,16.22,1
3,98.23,15.44,16.0,1
3,100.0,15.63,15.63,1
3,97.18,15.4,16.3,1
3,98.45,15.7,16.19,1
3,99.26,15.5,15.74,1
3,100.16,15.91,15.86,1
3,100.11,16.12,16.09,1
3,99.23,15.71,15.95,1
3,98.44,15.42,15.91,1
3,98.65,15.36,15.78,1
3,101.25,16.63,16.22,1
3,98.74,15.7,16.1,1
3,99.28,15.56,15.79,1
3,98.32,16.18,16.74,1
3,97.97,15.11,15.74,1
3,99.71,15.8,15.89,1
3,99.32,15.5,15.72,1
3,101.14,16.37,16.0,1
4,106.54,17.36,15.29,1
4,105.94,17.16,15.29,1
4,105.81,16.97,15.15,1
4,106.63,17.11,15.05,1
4,106.68,17.34,15.24,1
4,106.66,17.25,15.17,1
4,106.94,17.13,14.98,1
4,106.64,17.27,15.19,1
4,106.77,17.44,15.3,1
4,106.27,16.88,14.95,1
4,106.49,17.22,15.19,1
4,106.7,17.2,15.11,1
4,106.06,16.89,15.01,1
4,107.58,17.58,15.19,1
4,108.27,17.52,14.95,1
4,105.79,16.66,14.89,1
4,107.12,17.15,14.95,1
4,106.39,17.38,15.35,1
4,106.17,17.2,15.26,1
4,106.98,17.24,15.06,1
4,106.84,17.19,15.06,1
4,107.53,17.69,15.3,1
4,106.96,17.35,15.16,1
4,106.75,17.38,15.25,1
4,106.92,17.39,15.21,1
4,105.66,16.78,15.03,1
4,106.98,17.71,15.48,1
4,106.73,17.28,15.17,1
4,106.81,17.27,15.13,1
4,105.97,16.95,15.09,1
4,106.18,17.32,15.36,1
4,105.68,16.86,15.1,1
4,106.2,17.14,15.19,1
4,105.9,17.17,15.31,1
4,107.07,17.29,15.09,1
4,106.81,17.12,15.0,1
4,107.48,17.07,14.78,1
4,107.27,17.2,14.95,1
4,106.5,16.96,14.95,1
4,106.14,16.82,14.93,1
4,106.77,16.97,14.89,1
4,106.61,17.23,15.16,1
4,106.7,17.13,15.04,1
4,107.4,17.45,15.13,1
4,106.12,17.0,15.1,1
4,107.89,17.39,14.94,1
4,106.67,17.02,14.96,1
4,106.28,17.12,15.16,1
4,106.76,17.0,14.92,1
4,106.84,17.25,15.11,1
4,106.46,17.22,15.19,1
4,106.49,16.96,14.96,1
4,106.42,16.86,14.89,1
4,106.62,17.19,15.12,1
4,105.67,16.9,15.14,1
4,107.03,17.57,15.34,1
4,106.91,17.17,15.02,1
4,105.53,16.62,14.93,1
4,106.65,17.45,15.34,1
4,107.56,17.61,15.22,1
4,107.17,17.29,15.05,1
4,106.89,17.12,14.99,1
4,105.96,16.7,14.88,1
4,106.28,17.24,15.27,1
4,106.15,16.95,15.04,1
4,106.97,17.24,15.06,1
4,106.78,17.04,14.95,1
4,107.74,17.56,15.13,1
4,107.06,17.43,15.2,1
4,106.93,17.28,15.12,1
4,106.62,17.14,15.07,1
4,105.87,16.74,14.93,1
4,106.22,17.36,15.39,1
4,107.59,17.56,15.17,1
4,106.36,16.95,14.98,1
4,106.29,16.99,15.04,1
4,106.18,17.02,15.1,1
4,106.0,17.37,15.46,1
4,106.88,17.14,15.01,1
4,106.97,17.18,15.01,1
4,106.27,17.12,15.16,1
4,107.82,17.38,14.95,1
4,107.28,17.15,14.9,1
4,106.13,16.84,14.95,1
4,107.25,17.21,14.96,1
4,107.26,17.31,15.04,1
4,106.38,16.99,15.01,1
4,106.87,17.16,15.02,1
4,106.78,17.05,14.96,1
5,112.69,19.66,15.48,1
5,111.31,19.71,15.91,1
5,111.91,19.93,15.92,1
5,111.03,18.98,15.39,1
5,111.81,19.67,15.74,1
5,111.26,19.59,15.83,1
5,110.84,19.3,15.71,1
5,112.03,20.13,16.04,1
5,111.11,19.22,15.57,1
5,111.55,19.48,15.66,1
5,112.14,19.83,15.76,1
5,111.75,19.76,15.82,1
5,111.59,19.48,15.65,1
5,111.87,20.03,16.01,1
5,111.23,19.56,15.81,1
5,111.34,19.46,15.7,1
5,111.68,19.78,15.86,1
5,111.31,19.98,16.12,1
5,112.31,19.65,15.58,1
5,111.49,19.6,15.77,1
5,111.67,19.73,15.82,1
5,112.17,19.83,15.76,1
5,112.76,20.03,15.75,1
5,112.74,20.46,16.1,1
5,111.45,19.5,15.7,1
5,111.81,20.01,16.01,1
5,111.49,19.57,15.75,1
5,111.72,19.33,15.48,1
5,112.58,20.16,15.91,1
5,111.36,19.14,15.44,1
5,112.03,19.81,15.79,1
5,110.82,19.16,15.6,1
5,112.06,19.81,15.78,1
5,111.46,19.09,15.36,1
5,112.24,20.06,15.93,1
5,111.98,19.64,15.66,1
5,111.05,19.67,15.95,1
5,111.97,19.47,15.53,1
5,112.24,19.86,15.76,1
5,111.8,19.47,15.58,1
5,110.98,19.45,15.79,1
5,111.64,19.71,15.81,1
5,111.55,19.43,15.61,1
5,111.53,19.2,15.44,1
5,111.16,19.6,15.87,1
5,112.39,19.77,15.65,1
5,111.1,19.25,15.6,1
5,110.93,19.43,15.79,1
5,111.34,19.23,15.51,1
5,111.49,19.28,15.51,1
5,111.06,19.17,15.54,1
5,112.24,20.44,16.23,1
5,111.23,19.16,15.49,1
5,111.69,19.33,15.5,1
5,111.32,19.35,15.61,1
5,111.78,20.06,16.05,1
5,112.47,19.94,15.76,1
5,112.28,20.38,16.16,1
5,112.26,19.59,15.54,1
5,111.08,19.49,15.8,1
5,112.03,19.46,15.5,1
5,111.25,18.99,15.35,1
5,111.84,19.82,15.84,1
5,110.89,19.24,15.65,1
5,112.11,19.81,15.77,1
5,111.97,19.52,15.57,1
5,111.97,20.03,15.97,1
5,111.47,20.03,16.12,1
5,111.76,19.44,15.56,1
5,111.93,19.39,15.48,1
5,110.61,19.39,15.85,1
5,110.64,18.99,15.51,1
5,112.7,19.78,15.58,1
5,110.93,19.39,15.76,1
5,111.64,19.46,15.61,1
5,111.29,19.83,16.01,1
5,112.12,19.63,15.61,1
5,111.55,19.53,15.69,1
5,111.57,19.53,15.69,1
5,111.0,19.77,16.04,1
5,111.27,19.26,15.56,1
5,111.61,19.76,15.86,1
5,111.94,19.76,15.77,1
5,113.2,20.19,15.76,1
5,111.82,19.42,15.53,1
5,111.67,19.18,15.38,1
5,111.37,19.62,15.82,1
5,112.34,19.88,15.75,1
5,110.58,19.43,15.89,1
5,112.31,19.38,15.37,1
5,111.33,19.94,16.09,1
5,111.66,19.38,15.55,1
5,112.79,19.7,15.49,1
5,111.52,19.77,15.9,1
5,111.92,19.51,15.57,1
5,111.49,19.87,15.98,1
5,111.79,20.01,16.01,1
5,111.2,19.09,15.44,1
5,111.8,19.89,15.91,1
5,111.02,18.96,15.38,1
5,112.53,19.99,15.79,1
5,111.06,19.18,15.55,1
5,112.15,19.87,15.8,1
5,110.98,19.33,15.69,1
5,112.58,19.5,15.39,1
5,111.0,19.16,15.55,1
5,110.69,19.22,15.69,1
5,112.47,19.93,15.75,1
5,111.56,19.74,15.86,1
5,110.8,19.4,15.8,1
5,111.51,19.27,15.5,1
6,120.21,24.28,16.8,1
6,120.81,23.37,16.01,1
6,119.33,23.42,16.45,1
6,120.74,23.27,15.96,1
6,119.4,23.34,16.37,1
6,121.07,24.23,16.53,1
6,120.26,23.92,16.54,1
6,120.37,23.57,16.26,1
6,120.04,24.14,16.75,1
6,121.85,24.57,16.55,1
6,119.41,23.49,16.48,1
6,119.84,23.48,16.35,1
6,120.15,23.47,16.25,1
6,120.12,23.74,16.45,1
6,120.35,23.31,16.1,1
6,119.8,23.82,16.59,1
6,120.04,25.04,17.38,1
6,119.76,24.08,16.79,1
6,119.58,23.78,16.63,1
6,119.37,23.17,16.26,1
6,119.97,23.77,16.52,1
6,119.66,23.83,16.64,1
6,118.95,24.84,17.56,1
6,118.81,22.19,15.72,1
6,119.4,22.27,15.62,1
6,120.49,23.42,16.13,1
6,119.84,23.41,16.3,1
6,120.78,24.28,16.65,1
6,119.93,24.37,16.94,1
6,119.49,23.49,16.45,1
6,119.69,22.66,15.82,1
6,118.55,23.05,16.4,1
6,120.28,24.29,16.79,1
6,119.34,24.71,17.35,1
6,120.58,24.2,16.64,1
6,120.13,22.55,15.63,1
6,119.54,23.43,16.4,1
6,120.02,23.26,16.15,1
6,121.19,24.5,16.68,1
6,120.44,23.3,16.06,1
6,119.95,24.06,16.72,1
6,119.57,23.12,16.17,1
6,120.64,24.16,16.6,1
6,119.22,24.41,17.17,1
6,119.13,23.2,16.35,1
6,119.48,24.61,17.24,1
6,120.08,22.99,15.94,1
6,120.26,23.86,16.49,1
6,120.01,25.03,17.38,1
6,119.4,22.56,15.83,1
6,120.73,23.68,16.24,1
6,119.57,23.11,16.16,1
6,120.03,23.46,16.29,1
6,119.71,23.34,16.29,1
6,120.21,24.26,16.79,1
6,119.65,23.12,16.15,1
6,118.74,23.66,16.78,1
6,120.8,23.02,15.78,1
6,121.25,24.65,16.77,1
6,120.49,23.93,16.49,1
6,119.66,23.99,16.75,1
6,120.08,23.67,16.41,1
6,120.59,22.96,15.79,1
6,120.26,24.02,16.61,1
6,119.83,22.99,16.01,1
6,120.02,23.5,16.32,1
6,120.89,25.56,17.49,1
6,121.45,24.11,16.34,1
6,120.98,24.45,16.71,1
6,120.5,23.8,16.39,1
6,120.31,24.39,16.85,1
6,120.8,25.37,17.39,1
6,120.8,24.13,16.54,1
6,119.82,22.94,15.98,1
6,120.3,23.27,16.08,1
6,119.99,24.11,16.75,1
6,119.3,23.08,16.22,1
6,121.01,24.22,16.54,1
6,121.55,24.8,16.78,1
6,120.83,24.23,16.6,1
6,119.24,22.94,16.14,1
6,121.05,24.06,16.42,1
6,120.0,24.74,17.18,1
6,120.79,23.51,16.11,1
6,120.39,23.82,16.43,1
6,119.78,24.21,16.88,1
6,120.28,24.04,16.62,1
6,120.39,24.61,16.98,1
6,120.3,24.1,16.65,1
6,120.18,23.88,16.53,1
6,120.41,23.53,16.23,1
6,120.67,23.95,16.45,1
6,119.92,23.22,16.15,1
6,119.45,22.68,15.9,1
6,120.6,23.18,15.94,1
6,119.24,24.21,17.03,1
6,119.71,23.77,16.59,1
6,117.88,23.34,16.8,1
6,120.7,24.72,16.97,1
7,125.82,26.35,16.65,1
7,124.52,26.73,17.24,1
7,124.57,25.98,16.74,1
7,123.89,24.68,16.08,1
7,125.06,26.02,16.64,1
7,123.36,25.88,17.01,1
7,126.23,26.56,16.67,1
7,126.35,26.01,16.29,1
7,124.83,25.76,16.53,1
7,126.21,27.09,17.01,1
7,125.89,25.69,16.21,1
7,124.63,27.0,17.38,1
7,125.5,25.9,16.44,1
7,126.81,26.93,16.74,1
7,123.36,26.26,17.26,1
7,125.71,25.86,16.37,1
7,125.17,26.46,16.89,1
7,125.53,26.56,16.86,1
7,127.15,26.86,16.61,1
7,122.58,24.56,16.34,1
7,124.48,26.54,17.13,1
7,124.12,24.58,15.96,1
7,125.37,25.21,16.04,1
7,125.69,25.86,16.37,1
7,125.21,25.75,16.43,1
7,123.07,24.65,16.27,1
7,125.3,26.2,16.69,1
7,125.49,26.7,16.96,1
7,126.31,26.91,16.86,1
7,125.28,26.36,16.8,1
7,123.85,24.58,16.02,1
7,125.06,26.18,16.74,1
7,125.85,26.67,16.84,1
7,125.45,25.64,16.29,1
7,125.26,27.2,17.34,1
7,124.95,24.73,15.84,1
7,127.3,26.52,16.36,1
7,125.02,25.53,16.33,1
7,125.92,26.56,16.75,1
7,125.41,25.55,16.24,1
7,123.86,26.26,17.12,1
7,126.09,26.37,16.59,1
7,124.0,25.44,16.54,1
7,126.48,27.07,16.92,1
7,124.84,26.19,16.81,1
7,124.32,25.68,16.61,1
7,123.53,25.75,16.87,1
7,125.6,27.49,17.43,1
7,124.4,24.87,16.07,1
7,127.07,28.01,17.35,1
7,125.36,25.59,16.28,1
7,124.75,26.01,16.72,1
7,123.44,26.28,17.25,1
7,124.66,25.71,16.54,1
7,124.44,25.79,16.65,1
7,123.27,26.57,17.48,1
7,125.59,25.5,16.17,1
7,124.86,25.4,16.29,1
7,123.49,24.78,16.25,1
7,125.68,25.66,16.24,1
7,125.31,25.53,16.26,1
7,125.19,26.14,16.68,1
7,125.17,25.59,16.33,1
7,125.36,25.63,16.31,1
7,127.76,28.07,17.2,1
7,126.36,26.95,16.88,1
7,124.93,26.24,16.82,1
7,124.99,26.69,17.09,1
7,127.05,28.42,17.61,1
7,125.66,26.27,16.64,1
7,124.53,27.43,17.69,1
7,124.73,25.09,16.13,1
7,125.04,26.47,16.93,1
7,123.99,25.72,16.73,1
7,125.63,25.69,16.28,1
7,124.95,26.02,16.66,1
7,125.46,28.07,17.83,1
7,123.33,26.47,17.4,1
7,125.16,26.82,17.12,1
7,124.2,25.98,16.84,1
7,125.42,26.22,16.67,1
7,126.66,26.96,16.81,1
7,125.38,26.74,17.01,1
8,131.44,32.09,18.58,1
8,131.93,30.18,17.34,1
8,131.09,29.93,17.42,1
8,130.98,31.02,18.08,1
8,131.14,31.14,18.1,1
8,132.45,31.63,18.03,1
8,131.28,30.53,17.72,1
8,131.28,32.28,18.73,1
8,130.89,30.03,17.53,1
8,130.53,30.14,17.69,1
8,132.47,32.37,18.45,1
8,131.07,30.22,17.59,1
8,130.57,31.97,18.75,1
8,129.35,28.22,16.87,1
8,131.9,30.52,17.54,1
8,130.63,30.87,18.09,1
8,129.94,29.05,17.2,1
8,130.66,30.51,17.87,1
8,130.79,31.73,18.55,1
8,131.69,29.97,17.28,1
8,130.47,30.23,17.76,1
8,131.8,31.61,18.2,1
8,130.97,29.93,17.45,1
8,131.41,30.59,17.71,1
8,132.45,31.81,18.13,1
8,131.69,30.77,17.74,1
8,129.27,29.84,17.86,1
8,131.33,29.78,17.26,1
8,129.79,30.99,18.4,1
8,130.19,30.42,17.95,1
8,131.41,31.22,18.08,1
8,130.11,29.76,17.58,1
8,130.98,29.51,17.2,1
8,130.85,30.33,17.72,1
8,130.82,30.1,17.59,1
8,130.39,32.16,18.92,1
8,131.07,31.35,18.25,1
8,130.46,29.58,17.38,1
8,131.08,28.79,16.76,1
8,130.45,30.09,17.68,1
8,130.65,30.19,17.69,1
8,130.43,29.46,17.32,1
8,131.89,30.47,17.52,1
8,132.14,31.8,18.21,1
8,131.13,31.86,18.53,1
8,131.31,29.23,16.95,1
8,132.22,29.68,16.98,1
8,131.53,31.13,18.0,1
8,131.06,30.12,17.53,1
8,130.38,30.16,17.74,1
8,131.33,31.07,18.02,1
8,131.33,30.22,17.52,1
8,130.03,30.33,17.94,1
8,130.46,30.54,17.94,1
8,131.36,30.45,17.65,1
8,129.45,31.42,18.75,1
8,130.28,30.25,17.82,1
8,131.76,30.0,17.28,1
8,129.69,29.31,17.43,1
8,130.89,30.29,17.68,1
8,130.6,31.68,18.58,1
8,129.72,29.91,17.77,1
8,131.49,30.45,17.61,1
8,130.41,31.63,18.6,1
8,130.96,31.72,18.49,1
8,130.98,29.99,17.48,1
8,130.71,30.71,17.97,1
8,130.59,31.82,18.66,1
8,130.63,29.78,17.45,1
8,130.5,29.55,17.35,1
8,131.97,30.41,17.46,1
8,131.43,29.05,16.82,1
8,130.34,31.31,18.43,1
8,129.87,29.32,17.39,1
8,130.33,31.41,18.49,1
8,130.01,29.53,17.47,1
8,130.89,28.78,16.8,1
8,131.79,30.84,17.76,1
8,131.14,32.09,18.66,1
8,130.24,30.52,17.99,1
8,131.83,30.47,17.53,1
8,130.85,31.12,18.18,1
8,131.7,31.16,17.96,1
8,130.81,30.57,17.87,1
8,130.56,30.35,17.8,1
8,130.79,30.02,17.55,1
8,129.94,30.42,18.02,1
8,132.21,31.21,17.85,1
9,137.87,33.9,17.83,1
9,138.31,32.01,16.73,1
9,138.79,34.39,17.86,1
9,137.97,35.0,18.39,1
9,139.48,36.02,18.51,1
9,137.84,35.59,18.73,1
9,135.28,32.65,17.84,1
9,139.05,31.87,16.48,1
9,138.03,36.37,19.09,1
9,137.36,33.48,17.74,1
9,139.74,34.79,17.81,1
9,139.78,35.92,18.39,1
9,139.01,34.42,17.81,1
9,136.9,33.72,17.99,1
9,137.29,34.7,18.41,1
9,139.28,32.7,16.86,1
9,137.03,34.91,18.59,1
9,138.23,35.75,18.71,1
9,135.72,31.53,17.12,1
9,139.18,36.58,18.88,1
9,138.51,39.03,20.34,1
9,137.26,36.17,19.2,1
9,138.31,32.0,16.73,1
9,136.05,32.17,17.38,1
9,139.16,35.93,18.56,1
9,135.39,34.95,19.06,1
9,141.34,38.15,19.1,1
9,137.94,35.06,18.42,1
9,139.02,34.82,18.02,1
9,137.67,35.57,18.77,1
9,138.83,37.34,19.37,1
9,140.42,37.49,19.01,1
9,140.3,36.51,18.55,1
9,137.28,35.49,18.83,1
9,135.6,33.5,18.22,1
9,139.07,36.2,18.72,1
9,139.6,35.24,18.08,1
9,138.63,32.36,16.84,1
9,139.78,37.25,19.07,1
9,137.73,33.47,17.64,1
9,137.41,32.81,17.38,1
9,138.9,36.48,18.91,1
9,136.78,34.85,18.63,1
9,137.42,35.0,18.54,1
9,140.33,38.02,19.31,1
9,138.77,37.71,19.58,1
9,139.2,37.12,19.16,1
9,136.28,34.85,18.76,1
9,138.62,38.6,20.09,1
9,137.08,37.13,19.76,1
9,137.41,35.12,18.6,1
9,139.35,34.39,17.71,1
9,138.59,34.17,17.79,1
9,137.79,34.69,18.27,1
9,137.72,36.07,19.02,1
9,138.49,37.72,19.67,1
9,137.63,31.89,16.83,1
9,137.54,36.91,19.51,1
9,137.74,34.21,18.03,1
9,139.34,38.67,19.92,1
9,138.69,35.38,18.39,1
9,136.71,35.46,18.97,1
9,138.52,33.72,17.58,1
9,138.6,35.13,18.29,1
9,138.23,37.04,19.39,1
9,136.46,33.3,17.88,1
9,138.13,37.77,19.8,1
9,137.53,35.13,18.57,1
9,137.93,37.73,19.83,1
9,138.26,33.08,17.31,1
9,137.23,34.92,18.54,1
9,135.95,35.47,19.19,1
9,137.31,34.71,18.41,1
9,138.86,35.11,18.21,1
9,138.86,32.91,17.07,1
9,140.18,35.46,18.04,1
9,138.19,38.64,20.23,1
9,139.68,36.81,18.87,1
9,138.72,34.9,18.14,1
9,136.63,35.04,18.77,1
9,136.44,35.53,19.08,1
9,137.92,36.48,19.18,1
9,138.61,34.4,17.9,1
9,140.08,35.65,18.17,1
9,137.74,35.52,18.72,1
9,135.53,32.38,17.63,1
9,139.15,38.67,19.97,1
9,137.3,36.19,19.19,1
9,139.88,37.26,19.05,1
10,143.42,36.63,17.81,1
10,142.66,40.8,20.05,1
10,144.21,39.62,19.05,1
10,144.11,37.7,18.15,1
10,144.17,40.43,19.45,1
10,142.44,38.19,18.82,1
10,141.22,37.9,19.0,1
10,144.12,41.11,19.79,1
10,139.67,37.49,19.22,1
10,141.79,37.86,18.83,1
10,142.56,38.23,18.81,1
10,142.17,38.82,19.2,1
10,142.98,39.27,19.21,1
10,142.29,39.94,19.73,1
10,142.68,40.12,19.71,1
10,143.74,41.55,20.11,1
10,142.26,37.61,18.58,1
10,143.35,40.33,19.63,1
10,142.06,39.37,19.51,1
10,143.64,37.36,18.11,1
10,143.78,37.97,18.37,1
10,141.42,38.35,19.17,1
10,143.05,37.32,18.24,1
10,142.39,38.51,19.0,1
10,141.92,39.98,19.85,1
10,141.11,39.08,19.63,1
10,143.94,39.04,18.84,1
10,143.01,40.0,19.56,1
10,141.93,37.06,18.4,1
10,142.85,38.66,18.95,1
10,141.6,39.73,19.82,1
10,143.29,39.95,19.46,1
10,142.97,38.93,19.04,1
10,142.69,42.09,20.68,1
10,143.09,40.95,20.0,1
10,144.11,38.73,18.65,1
10,143.13,41.49,20.25,1
10,143.99,40.39,19.48,1
10,143.45,39.93,19.4,1
10,141.53,40.98,20.46,1
10,140.65,38.01,19.21,1
10,142.24,37.76,18.66,1
10,141.19,38.15,19.14,1
10,142.58,34.86,17.15,1
10,143.52,38.11,18.5,1
10,142.3,39.38,19.44,1
10,141.36,40.24,20.14,1
10,143.87,40.08,19.36,1
10,141.9,36.93,18.34,1
10,140.8,37.85,19.09,1
10,142.65,39.98,19.65,1
10,141.77,40.94,20.37,1
10,141.54,36.17,18.05,1
10,142.22,38.41,18.99,1
10,144.14,41.29,19.87,1
10,144.9,40.87,19.47,1
10,143.66,39.24,19.02,1
10,143.19,37.58,18.33,1
10,143.05,37.32,18.24,1
10,144.35,39.74,19.07,1
10,140.86,39.61,19.96,1
10,143.25,39.04,19.03,1
10,141.02,37.38,18.8,1
10,143.65,37.6,18.22,1
10,141.93,39.18,19.45,1
10,142.94,38.97,19.07,1
10,144.2,38.31,18.43,1
10,143.0,37.66,18.42,1
10,142.72,39.04,19.17,1
10,140.56,37.57,19.02,1
10,142.77,36.86,18.08,1
10,141.51,41.24,20.6,1
10,144.72,40.02,19.11,1
10,143.98,41.91,20.22,1
10,141.82,40.91,20.34,1
10,144.8,40.21,19.18,1
10,142.02,40.52,20.09,1
10,140.9,38.72,19.5,1
10,143.75,38.06,18.42,1
10,141.12,37.07,18.61,1
10,144.66,41.1,19.64,1
10,142.18,39.51,19.54,1
10,141.69,38.53,19.19,1
10,142.81,39.0,19.13,1
10,143.91,41.56,20.07,1
10,140.97,37.78,19.01,1
10,144.07,41.09,19.8,1
10,141.23,37.99,19.05,1
10,141.13,40.31,20.24,1
10,143.53,42.64,20.7,1
10,142.44,39.55,19.49,1
10,143.85,39.82,19.24,1
